Year;Month;Day;Time;End Year;End Month;End Day;End Time;Display Date;Headline;Text;Media;Media Credit;Media Caption;Media Thumbnail;Type;Group;Background
-3500;;;;;;;;;invention de l'écriture;;;;;;;;
-2680;;;;;;;;;pyramide Djoser;"Première pyramide signée d'un ""architecte""";;;;;;;
-3500;;;;;;;;;invention de l'écriture;;;;;;;;
-2680;;;;;;;;;pyramide Djoser;Première pyramide signée d'un architecte;;;;;;;
-1200;;;;;;;;;invention de l'alphabet;par les phénixciens;;;;;;;
-0776;;;;;;;;;premier jeux olypiques;;;;;;;;
-0623;;;;;;;;;naissance de bouddha;inde;;;;;;;
-0600;;;;;;;;;fondation de massalia;marseille (par des grecs venus d'Asie mineure);;;;;;;
-0508;;;;;;;;;début démocratie athene;;;;;;;;
-0052;;;;;;;;;conquête de la Gaule par les romains;vercingétorix dépose ses armes aux pieds de Jules César;;;;;;;
0000;;;;;;;;;naissance de Jesus Christ;;;;;;;;
0033;;;;;;;;;crucifixion de Jesus Christ;;;;;;;;
0079;;;;;;;;;irruption du vesuve;Italie (ensevelissement de Pompéï;;;;;;;
0313;;;;;;;;;Edit de milan;christianisation de l'empire Romain sous Constantin 1er;;;;;;;
0406;;;;;;;;;debut invasions barbares en Gaule romaine;(Alamans Burgondes Vandales Francs...);;;;;;;
0476;;;;;;;;;fin de l'empire romain d'occident;;;;;;;;
0481;;;;;;;;;sacre de Clovis;Reims devient le premier roi des Francs;;;;;;;
0576;;;;;;;;;naissance de Mahomet;la mecque;;;;;;;
0622;;;;;;;;;début de l'Hégire (calendrier musulman);Émigration de Mahomet de La Mecque à Yathrib (Médine);;;;;;;
0800;12;25;;;;;;;sacre de l'empereur charlemagne;;;;;;;;
0987;;;;;;;;;election du roi Hughes Capet;;;;;;;;
1099;;;;;;;;;première croisade et prise de Jérusalem;;;;;;;;
1214;7;27;;;;;;;bataille de Bouvines;Victoire de Philippe Auguste contre Jean sans Terre roi d’Angleterre et Othon IV  empereur d’Allemagne;;;;;;;
1270;;;;;;;;;mort de saint louis;Tunis;;;;;;;
1431;5;30;;;;;;;mort de Jeanne d'Arc;condamnée pour hérésie par les Anglais;;;;;;;
1453;;;;;;;;;prise de Constantinople par les Turcs fin de l'Empire Romain d'orient;;;;;;;;
1492;;;;;;;;;Christophe Colomb débarque en amérique;;;;;;;;
1498;;;;;;;;;Vasco De Gama fait le tour de l'afrique;;;;;;;;
1515;;;;;;;;;bataille de marignan;;;;;;;;
1516;;;;;;;;;peinture de la Joconde;;;;;;;;
1534;;;;;;;;;Jacques Cartier débarque au Canada;;;;;;;;
1543;;;;;;;;;Copernic affirme que la terre tourne autour du soleil;(polonais);;;;;;;
1572;;;;;;;;;massacre de la Saint Barthélémy;;;;;;;;
-300000;;;;-3500;;;;;préhistoire;;;;;;Ere;;
-3500;;;;476;;;;;antiquité;;;;;;Ere;;
40;;;;60;;;;;construction pont du Gard;aqueduc de nîme;;;;;;;
476;;;;1492;;;;;Moyen Age;;;;;;Ere;;
1180;;;;1223;;;;;règne de philipe auguste;;;;;;Dirigeant;;
1226;;;;1270;;;;;règne de lois IX (saint louis);;;;;;Dirigeant;;
1285;;;;1314;;;;;règne de Philipe IV le Bel;;;;;;Dirigeant;;
1337;;;;1453;;;;;guerre de 100 ans;entre les Français et les Anglais;;;;;;;
1347;;;;1352;;;;;Peste Noire;Environ 25 millions de morts (40% de la population européenne);;;;;;;
1461;;;;1483;;;;;regne de Louis XI;;;;;;Dirigeant;;
1483;;;;1498;;;;;règne de Charles VIII;;;;;;Dirigeant;;
1492;;;;1789;;;;;temps Modernes;Les grandes découvertes dans le monde / Crises et Renaissance en Europe;;;;;Ere;;
1498;;;;1515;;;;;règne de Louis XII;;;;;;Dirigeant;;
1515;;;;1547;;;;;règne de Francois 1er;;;;;;Dirigeant;;
1519;;;;1522;;;;;tour du monde de magellan;;;;;;;;
1547;;;;1559;;;;;regne de Henri II;;;;;;Dirigeant;;
1559;;;;1560;;;;;règne de Francois II;;;;;;Dirigeant;;
1561;;;;1574;;;;;regne de Charles IX;;;;;;Dirigeant;;
1562;;;;1598;;;;;guerre des religions;entre catholiques et protestants en Europe;;;;;;;
1574;;;;1589;;;;;règne de Henri III;;;;;;Dirigeant;;
