Year;Month;Day;Time;End Year;End Month;End Day;End Time;Display Date;Headline;Text;Media;Media Credit;Media Caption;Media Thumbnail;Type;Group;Background
-300000;;;;-3500;;;;;préhistoire;;;;;;Ere;;
-3500;;;;476;;;;;antiquité;;;;;;Ere;;
-3500;;;;;;;;;Début de l'écriture;Mésopotamie et Egypte ;;;;;Ere;;
-3000;;;;;;;;;Premiers documents écrits;;;;;;Archi;;
-2680;;;;;;;;;pyramide Djoser;"Première pyramide signée d'un ""architecte""";;;;;Archi;;
-1200;;;;;;;;;invention de l'alphabet;par les phénixciens;;;;;;;
-800;;;;-500;;;;;Grèce Antique - Période Archaïque;;;;;;Dirigeant;;
-800;;;;-27;;;;;Rome Antique - République;;;;;;Dirigeant;;
-776;;;;;;;;;premier jeux olypiques;;;;;;;;
-623;;;;;;;;;naissance de bouddha;inde;;;;;;;
-600;;;;;;;;;fondation de massalia;marseille (par des grecs venus d'Asie mineure);;;;;Archi;;
-508;;;;;;;;;début démocratie athene;;;;;;Dirigeant;;
-500;;;;-323;;;;;Grèce Antique - 1ère période classique;;;;;;Dirigeant;;
-447;;;;;;;;;Le Parthénon;;;;;;Archi;;
-400;;;;-438;;;;;Théâtre d’Epidaure;;;;;;Archi;;
-400;;;;;;;;;Théâtre de Priène;;;;;;Archi;;
-323;;;;-31;;;;;Grèce Antique - 2nde période classique (hellénistique);;;;;;Dirigeant;;
-52;;;;;;;;;conquête de la Gaule par les romains;vercingétorix dépose ses armes aux pieds de Jules César;;;;;;;
-27;;;;476;;;;;Rome Antique - Empire;;;;;;Dirigeant;;
0;;;;;;;;;naissance de Jesus Christ;;;;;;;;
33;;;;;;;;;crucifixion de Jesus Christ;;;;;;;;
40;;;;60;;;;;construction pont du Gard;aqueduc de nîme;;;;;;;
79;;;;;;;;;irruption du vesuve;Italie (ensevelissement de Pompéï;;;;;;;
313;;;;;;;;;Edit de milan;christianisation de l'empire Romain sous Constantin 1er;;;;;;;
406;;;;;;;;;debut invasions barbares en Gaule romaine;(Alamans Burgondes Vandales Francs...);;;;;;;
476;;;;750;;;;;Architecture mérovingienne;;;;;;Mouvement;;
476;;;;;;;;;Chute de l'empire romain d'occident;;;;;;Ere;;
476;;;;1000;;;;;Haut Moyen Age ;;;;;;Ere;;
480;;;;;;;;;Baptistère de Poitier;;;;;;Archi;;
481;;;;;;;;;sacre de Clovis;Reims devient le premier roi des Francs;;;;;;;
576;;;;;;;;;naissance de Mahomet;la mecque;;;;;;;
600;;;;;;;;;Cathédrale d’Aix-la-Chapelle;;;;;;Archi;;
622;;;;;;;;;début de l'Hégire (calendrier musulman);Émigration de Mahomet de La Mecque à Yathrib (Médine);;;;;;;
650;;;;;;;;;Cripte de saint paul de Jouarre;;;;;;Archi;;
650;;;;;;;;;Hypogée des dunes ;Poitier;;;;;Archi;;
700;;;;;;;;;Architecture carolingienne - Palais d'Aix-la-Chapelle;;;;;;Archi;;
750;;;;950;;;;;Architecture carolingienne ;;;;;;Mouvement;;
790;;;;800;;;;;Chapelle palatine ;;;;;; Archi;;
800;12;25;;;;;;;sacre de l'empereur charlemagne;;;;;;;;
900;;;;;;;;;Notre-Dame de Saint-Saturnin;;;;;;Archi;;
950;;;;1150;;;;;Art roman;;;;;;Mouvement;;
950;;;;1100;;;;;Notre-Dame du Port;;;;;;Archi;;
987;;;;;;;;;election du roi Hughes Capet;;;;;;;;
1000;;;;1250;;;;;Moyen Âge classique;;;;;;Ere;;
1009;;;;1040;;;;;Saint-Michel de Cuxa;;;;;;Archi;;
1020;;;;;;;;;Saint-Martin du Canigou;;;;;;Archi;;
1028;;;;;;;;;Saint Philibert de Tournus;;;;;;Archi;;
1040;;;;;;;;;Vignory;;;;;;Archi;;
1041;;;;1065;;;;;Sainte-Foy de Conques;;;;;;Archi;;
1045;;;;;;;;;Église de paray le monial;;;;;;Archi;;
1049;;;;;;;;;Abbaye de Cluny;;;;;;Archi;;
1099;;;;;;;;;première croisade et prise de Jérusalem;;;;;;;;
1100;;;;;;;;;Château de Fontainebleau;;;;;;Archi;;
1130;;;;1230;;;;;Gothique classique;;;;;;Mouvement;;
1140;;;;;;;;;Abbaye Saint-Denis;;;;;;Archi;;
1140;;;;1168;;;;;Cathédrale de Sens;;;;;;Archi;;
1146;;;;1176;;;;;Eglise de saint nectaire;;;;;;Archi;;
1146;;;;1178;;;;;Notre dame d’orcival;;;;;;Archi;;
1180;;;;1223;;;;;règne de philipe auguste;;;;;;Dirigeant;;
1194;;;;1226;;;;;Notre-Dame de Chartres;;;;;;Archi;;
1195;;;;;;;;;Cathédrale Saint-Étienne de Bourges;;;;;;Archi;;
1214;7;27;;;;;;;bataille de Bouvines;Victoire de Philippe Auguste contre Jean sans Terre roi d’Angleterre et Othon IV  empereur d’Allemagne;;;;;;;
1220;;;;;;;;;Cathédrale d’Amiens;;;;;;Archi;;
1226;;;;1270;;;;;règne de lois IX (saint louis);;;;;;Dirigeant;;
1230;;;;1350;;;;;Gotique rayonnant;;;;;;Mouvement;;
1250;;;;1400;;;;;Bas Moyen Âge;;;;;;Ere;;
1270;;;;;;;;;mort de saint louis;Tunis;;;;;;;
1272;;;;;;;;;Cathédrale de Limoges;;;;;;Archi;;
1285;;;;1314;;;;;règne de Philipe IV le Bel;;;;;;Dirigeant;;
1300;;;;1600;;;;;Renaissance italienne;;;;;;Mouvement;;
1318;;;;;;;;;Saint-Ouen de Rouen;;;;;;Archi;;
1337;;;;1453;;;;;guerre de 100 ans;entre les Français et les Anglais;;;;;;;
1347;;;;1352;;;;;Peste Noire;Environ 25 millions de morts (40% de la population européenne);;;;;;;
1350;;;;1500;;;;;Gothique flamboyant;;;;;;Mouvement;;
1395;;;;1403;;;;;Sainte-Chapelle de Riom;;;;;;Archi;;
1400;;;;1500;;;;;Quatrociento;;;;;;Ere;;
1418;;;;;;;;;hôpital des Innocents, Florence;;;;;;Archi;;
1421;;;;1434;;;;;Ca d'oro;;;;;;Archi;;
1421;;;;1436;;;;;Coupole de Santa Maria del Fiore;;;;;;Archi;;
1425;;;;;;;;;Apparition de la perspective ;par Brunelleschi;;;;;;;
1431;5;30;;;;;;;mort de Jeanne d'Arc;condamnée pour hérésie par les Anglais;;;;;;;
1446;;;;1451;;;;;Palais Rucellai;Florence ;;;;;Archi;;
1450;;;;;;;;;Invention de l’imprimerie;Par Gutenberg;;;;;;;
1453;;;;;;;;;prise de Constantinople par les Turcs fin de l'Empire Romain d'orient;;;;;;Ere;;
1461;;;;1483;;;;;regne de Louis XI;;;;;;Dirigeant;;
1472;;;;1482;;;;;Eglise Santa Maria delle Grazie;;;;;;Archi;;
1483;;;;1498;;;;;règne de Charles VIII;;;;;;Dirigeant;;
1490;;;;1540;;;;;Première Renaissance Française;;;;;;Mouvement;;
1491;;;;;;;;;Château d’Amboise;;;;;;Archi;;
1492;;;;;;;;;Christophe Colomb débarque en amérique;La terre est donc ronde ;;;;;;;
1493;;;;;;;;;Chapelle saint Hubert;;;;;;;;
1498;;;;1515;;;;;règne de Louis XII;;;;;;Dirigeant;;
1498;;;;;;;;;Vasco De Gama fait le tour de l'afrique;;;;;;;;
1499;;;;;;;;;Piéta;;;;;;;;
1500;;;;;;;;;Château de Blois;;;;;;Archi;;
1500;;;;1600;;;;;Cinquecento;;;;;;Ere;;
1501;;;;1504;;;;;David ;Michel Ange;;;;;;;
1502;;;;1510;;;;;Tempietto di San Pietro;;;;;;Archi;;
1503;;;;;;;;;Musée Anne de Beaujeu;;;;;;Archi;;
1505;;;;1650;;;;;Basilique Saint-Pierre, Vatican;;;;;;Archi;;
1508;;;;1512;;;;;Plafond de la chapelle Sixtine ;;;;;;;;
1513;;;;;;;;;Château de Chenonceau;;;;;;Archi;;
1514;;;;;;;;;Villa Madama;Raphael ;;;;;Archi;;
1515;;;;;;;;;bataille de Marignan;;;;;;;;
1515;;;;;;;;;Moïse;Michel ange ;;;;;;;
1515;;;;1547;;;;;règne de Francois 1er;;;;;;Dirigeant;;
1516;;;;;;;;;peinture de la Joconde;;;;;;;;
1519;;;;1525;;;;;Château de Chambord;;;;;;Archi;;
1519;;;;1534;;;;;Tombeau de Julien de Médicis;Michel ange ;;;;;Archi;;
1519;;;;1522;;;;;tour du monde de magellan;;;;;;;;
1528;;;;;;;;;Château de Fontainebleau (restauration);;;;;;Archi;;
1534;;;;;;;;;Jacques Cartier débarque au Canada;;;;;;;;
1535;;;;;;;;;Place du capitol;Rome, michel ange ;;;;;Archi;;
1537;;;;;;;;;Traité de Serlio;;;;;;;;
1540;;;;1600;;;;;Seconde Renaissance Française;;;;;;Mouvement;;
1543;;;;;;;;;Copernic affirme que la terre tourne autour du soleil;(polonais);;;;;;;
1546;;;;;;;;;Basilique de Vicence;Andrea Palladio;;;;;Archi;;
1547;;;;1552;;;;;Château d’Anet;;;;;;Archi;;
1547;;;;1559;;;;;regne de Henri II;;;;;;Dirigeant;;
1548;;;;;;;;;Philibert de l’orme est nommé surintendant des bâtiments royaux ;;;;;;;;
1549;;;;;;;;;Exempla arcuum, partim ab ipso inventa, partim ex veterum sumpta munumenta;Jacques Androuet du cerceau;;;;;;;
1549;;;;;;;;;Louvre - aile Lescot;Pierre lescot;;;;;Archi;;
1550;;;;1560;;;;;Villa Foscari;;;;;;Archi;;
1559;;;;1560;;;;;règne de Francois II;;;;;;Dirigeant;;
1560;;;;1574;;;;;regne de Charles IX;;;;;;Dirigeant;;
1560;;;;;;;;;Villa Barbaro ;Andrea Palladio;;;;;Archi;;
1561;;;;;;;;;Livres d’architecture ;Philibert de l’Orme et Jacques Androusset du cerceau ;;;;;;;
1562;;;;1598;;;;;guerre des religions;entre catholiques et protestants en Europe;;;;;;;
1566;;;;1571;;;;;Villa Capra / villa rotonda;Vicence;;;;;Archi;;
1570;;;;;;;;;Les quatres livres d’architecture ;Andrea Palladio;;;;;;;
1572;;;;;;;;;massacre de la Saint Barthélémy;;;;;;;;
1574;;;;1589;;;;;règne de Henri III;;;;;;Dirigeant;;
1589;;;;1610;;;;;regne de Henri IV;;;;;;Dirigeant;;
1600;;;;1715;;;;;Grand siècle;;;;;;Ere;;
1605;;;;1512;;;;;Place des vosges ;;;;;;;;
1605;;;;1610;;;;;Pont-Neuf;;;;;;Archi;;
1607;;;;1611;;;;;Hôpital Saint-Louis;;;;;;Archi;;
1607;;;;1612;;;;;Place Dauphine;;;;;;Archi;;
1610;;;;;;;;;Galerie entre le louvre et les tuileries;;;;;;Archi;;
1610;;;;1643;;;;;regne de Louis III;;;;;;Dirigeant;;
1623;;;;;;;;;La manière de bâtir pour toutes sortes de personnes;Le Muet;;;;;;;
1624;;;;;;;;;L’architecture française des bâtiments particuliers;;;;;;;;
1642;;;;1549;;;;;Chateau de Maisons;Francois manssart ;;;;;Archi;;
1643;;;;1715;;;;;Regne de louis XIV;;;;;;Dirigeant;;
1653;;;;1659;;;;;Chateau de Vaux le Vicomte;Louis le Vau, Charles le Brun et André Le Notre;;;;;Archi;;
